time	magnitude	longitude	latitude	depth(m)	sigma_time	sigma_amp	cov_time_amp	event_index	gamma_score
2017-11-01T14:51:44.323	2.333	-96.173	15.439	163988.503	0.568	0.345	-0.076	62	6.994
2017-11-01T15:35:58.665	1.783	-94.794	16.155	27.763	2.287	0.486	0.237	63	7.686
2017-11-01T18:57:14.962	1.648	-95.168	16.478	23647.585	1.056	0.236	0.447	64	15.000
2017-11-01T19:58:26.957	2.107	-95.266	15.907	22703.722	1.419	0.418	0.146	65	17.894
2017-11-01T20:08:48.217	2.891	-94.124	15.346	0.000	1.692	0.527	0.579	66	25.099
2017-11-01T20:14:55.327	1.999	-95.278	15.903	34662.417	1.202	0.461	0.153	67	13.828
2017-11-01T20:55:13.735	2.334	-95.194	16.456	26397.848	0.940	0.499	0.462	68	18.995
2017-11-01T21:10:17.560	1.764	-95.195	16.545	0.000	0.418	0.375	-0.026	69	12.000
2017-11-01T21:47:36.081	1.696	-94.394	15.209	0.000	1.760	0.322	0.022	70	7.994
2017-11-01T22:12:00.012	1.864	-95.090	16.525	32310.714	0.988	0.372	0.006	71	11.582
2017-11-01T23:29:04.704	4.238	-94.455	14.949	0.000	2.184	0.482	0.458	72	31.541
2017-11-01T23:33:41.755	2.297	-94.471	15.280	0.000	1.901	0.234	0.014	73	9.000
2017-11-01T23:49:56.218	1.490	-95.742	16.718	8.034	0.608	0.388	0.030	74	14.000
2017-11-02T00:45:19.333	2.160	-94.717	15.499	0.000	1.674	0.414	0.117	75	12.726
2017-11-02T01:00:45.318	1.646	-95.638	16.239	0.000	1.526	0.392	0.782	76	9.900
2017-11-02T01:08:45.310	1.952	-94.666	15.417	0.000	1.517	0.274	0.067	77	11.925
2017-11-02T01:22:39.082	1.475	-94.630	15.470	0.000	1.478	0.298	0.117	78	9.783
2017-11-02T01:51:02.906	3.451	-95.267	15.891	51037.126	1.581	0.530	0.098	79	29.850
2017-11-02T01:56:07.192	2.633	-95.277	15.762	0.000	1.652	0.527	-0.316	80	29.111
2017-11-02T02:02:02.705	2.114	-95.228	15.804	0.000	1.249	0.474	0.195	81	13.967
2017-11-02T02:02:33.808	2.308	-95.228	15.877	37527.073	1.310	0.351	0.183	82	14.992
2017-11-02T02:06:32.216	1.570	-95.289	15.956	0.000	1.302	0.434	-0.091	83	8.561
2017-11-02T02:12:08.615	1.762	-95.711	16.451	446.014	1.621	0.408	0.252	84	6.944
2017-11-02T02:20:27.841	3.276	-94.562	15.203	0.000	1.448	0.428	0.046	85	19.085
2017-11-02T02:20:29.307	2.393	-94.968	15.504	2451.889	1.638	0.467	0.020	86	13.926
2017-11-02T02:28:59.440	1.763	-95.315	15.969	29378.160	0.854	0.273	0.063	87	11.998
2017-11-02T03:19:11.342	2.134	-95.162	17.047	0.000	1.820	0.495	0.543	88	12.793
2017-11-02T03:40:24.007	1.688	-95.310	15.945	23534.255	1.258	0.348	0.014	89	16.593
2017-11-02T03:42:05.396	1.458	-95.246	15.947	68.255	0.650	0.306	0.053	90	7.997
